Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Cardio,2020-02-25 19:21:54,false,"Cardio","0.00","99","00:47:42","69","125","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","47:42","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-23 17:06:57,false,"Cardio","0.00","375","01:09:47","102","126","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:09:47","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-02-22 16:09:22,false,"Sofia Running","3.00","551","00:53:22","135","173","44","238","17:46","2:47","10","16","1.30","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","53:22","0:00","0.0","0:00","No","00:03.96","4","0.0"
Cardio,2020-02-18 19:21:34,false,"Cardio","0.00","272","00:48:19","100","146","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","48:19","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-17 20:49:16,false,"Cardio","0.00","96","00:14:49","106","116","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","14:49","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-15 18:19:47,false,"Cardio","0.00","212","00:39:03","99","140","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","39:03","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-14 18:04:52,false,"Cardio","0.00","29","00:12:14","71","86","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","12:14","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-02-13 17:56:39,false,"Sofia Running","3.79","687","01:10:13","140","170","38","228","18:31","4:00","18","25","1.44","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:10:13","0:00","0.0","0:00","No","14:51.62","4","0.0"
Cardio,2020-02-12 20:23:24,false,"Cardio","0.00","546","01:38:14","106","151","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:38:14","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-02-11 21:10:24,false,"Sofia Running","2.87","680","00:55:14","150","180","45","248","19:15","4:51","9","21","1.20","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","55:14","0:00","0.0","0:00","No","15:33.87","3","0.0"
Cardio,2020-02-10 20:26:15,false,"Cardio","0.00","637","01:14:34","127","157","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:14:34","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-09 13:17:16,false,"Cardio","0.00","562","02:01:50","112","154","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","2:01:50","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-02-04 21:10:52,false,"Running","6.15","666","01:00:35","139","178","40","236","9:51","5:27","2","21","2.57","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:00:35","0:00","0.0","0:00","No","01:58.26","7","0.0"
Cardio,2020-02-04 19:22:38,false,"Cardio","0.00","248","00:42:32","103","153","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","42:32","0:00","0.0","0:00","No","00:00.00","1","0.0"
