Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Cardio,2021-04-08 18:29:42,false,"Cardio","0.00","290","00:44:06","109","148","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","44:06","0:00","0.0","0:00","No","44:05.93","1","0.0"
Pool Swimming,2021-04-07 19:16:38,false,"Pool Swimming","--","--","00:00:01.6","--","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:01.6","0:00","0.0","0:00","No","00:01.56","1","0.0"
Pool Swimming,2021-04-07 18:43:56,false,"Pool Swimming","1,000","250","00:27:11","--","--","--","--","2:06","1:37","--","--","0.00","0.0","0.0","0.0","0.0","0.0","501","35","24","--","--","27:11","0:00","0.0","0:00","No","00:02.40","3","0.0"
Cardio,2021-04-01 19:41:35,false,"Cardio","0.00","151","00:34:55","88","138","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","34:55","0:00","0.0","0:00","No","34:54.84","1","0.0"
Cardio,2021-03-31 18:34:42,false,"Cardio","0.00","212","00:53:35","87","131","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","53:35","0:00","0.0","0:00","No","53:34.71","1","0.0"
Cardio,2021-03-23 19:31:22,false,"Cardio","0.00","152","00:29:27","96","130","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","29:27","0:00","0.0","0:00","No","29:26.75","1","0.0"
Running,2021-03-22 21:02:48,false,"Varna Running","3.12","343","00:53:18","113","151","32","225","17:05","1:44","15","41","2.07","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","53:18","0:00","0.0","0:00","No","00:08.88","4","0.0"
Running,2021-03-19 19:12:09,false,"Varna Running","3.19","236","00:22:34","138","154","163","222","7:04","2:40","7","4","0.87","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","22:34","0:00","0.0","0:00","No","02:05.90","4","0.0"
Cardio,2021-03-19 18:44:56,false,"Cardio","0.00","96","00:26:30","83","110","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","26:30","0:00","0.0","0:00","No","26:30.24","1","0.0"
Running,2021-03-18 19:21:29,false,"Varna Running","2.03","173","00:14:54","140","153","158","175","7:21","5:36","19","21","0.86","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","14:54","0:00","0.0","0:00","No","00:15.04","3","0.0"
Cardio,2021-03-18 18:59:17,false,"Cardio","0.00","74","00:21:40","81","98","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","21:40","0:00","0.0","0:00","No","21:40.02","1","0.0"
Running,2021-03-16 19:09:44,false,"Varna Running","1.78","138","00:12:19","136","156","167","221","6:55","2:01","6","4","0.87","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","12:19","0:00","0.0","0:00","No","05:28.81","2","0.0"
Running,2021-03-15 18:48:52,false,"Varna Running","2.52","232","00:20:03","142","158","157","188","7:58","4:44","8","4","0.80","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","20:03","0:00","0.0","0:00","No","03:12.99","3","0.0"
Strength Training,2021-03-15 18:35:25,false,"Strength","0.00","39","00:13:12","75","132","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","12","1","13:12","0:00","0.0","0:00","No","13:11.99","1","0.0"
Running,2021-03-09 22:14:42,false,"Varna Running","3.56","607","01:03:02","137","169","50","238","17:43","4:08","7","8","1.16","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:03:02","0:00","0.0","0:00","No","12:06.58","4","0.0"
Running,2021-03-06 17:39:54,false,"Sofia Running","1.82","175","00:14:30","141","160","147","205","7:58","3:06","13","6","0.85","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","14:30","0:00","0.0","0:00","No","06:18.58","2","0.0"
Running,2021-03-04 18:01:57,false,"Sofia Running","2.07","358","00:31:30","139","171","44","229","15:13","4:01","4","9","1.46","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","31:30","0:00","0.0","0:00","No","06:03.52","3","0.0"
Running,2021-03-02 17:10:00,false,"Running","0.34","44","00:03:27.7","141","149","147","169","10:19","9:04","2","--","0.66","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","3:27.7","0:00","0.0","0:00","No","03:27.73","1","0.0"
Pool Swimming,2021-02-20 11:15:18,false,"Pool Swimming","1,350","385","00:36:36","--","--","--","--","1:31","0:29","--","--","0.00","0.0","0.0","0.0","0.0","0.0","453","62","22","--","--","36:36","0:00","0.0","0:00","No","00:06.22","5","0.0"
Cycling,2021-02-16 13:07:16,false,"Cycling","0.00","29","00:11:14","69","114","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","11:14","0:00","0.0","0:00","No","11:14.01","1","0.0"
Pool Swimming,2021-02-13 13:29:42,false,"Pool Swimming","1,350","331","00:40:57","--","--","--","--","1:33","0:30","--","--","0.00","0.0","0.0","0.0","0.0","0.0","565","67","27","--","--","40:57","0:00","0.0","0:00","No","00:01.85","13","0.0"
Running,2021-02-09 21:08:22,false,"Running","4.52","646","00:55:34","142","170","42","229","12:17","6:49","4","12","2.10","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","55:34","0:00","0.0","0:00","No","06:08.40","5","0.0"
Pool Swimming,2021-01-06 18:14:02,false,"Pool Swimming","--","--","00:00:04.3","--","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:04.3","0:00","0.0","0:00","No","00:02.05","2","0.0"
Pool Swimming,2021-01-03 13:48:23,false,"Pool Swimming","--","--","00:00:03.6","--","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:03.6","0:00","0.0","0:00","No","00:03.60","1","0.0"
Running,2021-01-03 13:01:03,false,"Varna Running","0.00","--","00:00:02.9","128","128","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:02.9","0:00","0.0","0:00","No","00:01.16","2","0.0"
Running,2021-01-03 12:03:47,false,"Varna Running","3.65","446","00:57:14","121","146","129","248","15:40","1:54","8","5","0.50","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","57:14","0:00","0.0","0:00","No","12:40.55","4","0.0"
Running,2020-12-29 21:03:36,false,"Running","0.00","--","00:00:22.4","71","86","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:22.4","0:00","0.0","0:00","No","00:00.96","5","0.0"
